ref,hyp
search current directori tree for file whose name are not _file,list all _file file in entir file system
find text file modifi less than _timespan ago,find all file in entir file system that been modifi exact _timespan befor which end with _regex
exclud directori from find command,search for file and directori name foo foo or ani other combin of uppercas and lowercas charact beneath current directori
search for a file in current folder and append file name at start of all line in file,remov trail white space from all file under dir directori and keep backup of origin
count non-blank line in all _file file in a current folder,count number of processor and save in variabl numpi
save valu _number in _regex variabl and return _number,return exit status _number and write output to _file
display all file in home folder which end with _file,find all _file file and directori under current directori
search for all directori in current folder and save output to a variabl,list all leaf directori under current directori
print onli group name from _file,print second section of space-separ data come from stdin
print process with _regex in name cut off line longer than screen width exit from less after end of output and save print line on termin after exit,find all _file process run in system and view output in _regex variabl
add execut permiss to _regex _regex and _regex for all user,set permiss of all file in _regex _file and _file to _number
find all file with extens _file regardless of case,search _directory directori tree for _file file
show directori size in kb and sort to give largest at end,display size and folder of all directori in _file folder
expand bash array _regex as argument to _regex,move all file and directori in current directori to _file
print a random number between _number and _number,search for _regex in a larg file and print match line
find _regex _file _regex _regex _file _regex _regex _file,find all _file file which path neither _file nor _file
find file own by nonexist user,find all file and directori that not belong to ani user under _file directori tree
remov all empti regular file under current directori and below,find and remov _size file in _file directori tree and remov them
find all _file file in _regex directori tree whose pathnam not contain whitespac,search system for file _regex ignor permiss deni error
sort file _regex by line,sort line of file _file and chang it in-plac
uninstal and instal git formula,remov _regex packag
for each line in _regex print _regex follow by line backward,display differ between output of _regex and _regex
copi specif sub-directori _directory and _file from _directory to _file via ssh,list all file in some directori except _file
print list of disk and mountpoint of disk match _file,remov whitespac in _file
set system date to sat _datetime int _number,display all variabl with name start with _regex in a window 's command line
save utc date repres by time string _regex as second sinc epoch to variabl _regex,show epoch in default _file format
print _file record with server 's hostnam from nameserv _regex,chang group of _regex to _regex
find one file or directori in current directori whose name match pattern given as a variabl _regex,find all file and directori name _regex in maximum _number level down _file directori
grep for last occurr of text between _number tag,print last non-empti line of a file
sort tab separ file _regex use a version sort for field _number and a numer sort for field _number,sort _regex delimit line in _file by first and third field preserv onli uniqu line
remov _regex file,recurs remov all file like _file in a current folder
find all file under current directori and copi permiss to same file in _file,make regular file from _directory execut for all
delet what was type in command line and run _regex when button _regex,bind _regex to _regex function
display all text file in current folder,find all _file file and directori under current directori
_file and _file both contain a name and a number on each line for each name whose correspond number not match in both file display _regex messag,display all line contain in _file in revers order
display each line in _file backward,print content of _regex file revert character
make directori and parent as need to _regex and _regex,creat intermedi directori _directory as requir and directori baz _file bang
read first column of each row find all other first column which a differ less than _number and append that comma separ list to row,join column in _regex and _regex if first field match and format output as a tabl
revert _regex valu and print first _number space-separ field,keep last _number compon of _regex
find command will display top _number small file from current directori most probabl will get _size file,display _number smallest file by size in a folder
pars _file to print _file _regex entri whose _regex are less than _number,use awk command _file on compress file _file and _file
display all file in usr folder and those that are in path local,find file end in _regex
disabl wildcard expans and name glob,set _regex shell option caus bash to print shell input line as are read
print name of all file in home directori and it subdirectori recurs whose mime type is video,search current directori tree for execut regular file
run specifi git command page through output with raw charact written to termin without initi termin capabl and automat exit when end of output is reach,print git branch current check out in a work directori
find all directori in maximum _number level down _file directori,print list of all subdirectori of current directori
remov _file file from current directori whose name match regular express _file,find all file in current folder which end with _file or _file and forc delet them
make sure file _file exist in current directori updat it timestamp to current _file,creat an empti file specifi by variabl _regex
find real time report in a _regex command execut statist,redirect output of _regex built-in function and print onli real-tim statist
search for filenam match _regex in current directori and number output,list all file in a current folder separ name with space
run rsync with option specifi by variabl opt copi directori specifi by variabl find and to destin specifi by variabl backupdir,creat a new directori _directory on host _regex
find file in current directori tree whose content was chang within _timespan,find all file that been modifi in _timespan
get job number from store pid,get a pid of a process with name _regex
show all directori in current folder exclud those that are present in sub directori of media imag and backup,find all _file directori under _file directori
display all _file imag in current folder,find all regular file under _regex directori tree whose path match regex _file where _regex expand as a variabl
remov all file whose name end with _regex in _file directori tree,find all _file file under and below _directory directori and remov them
print file system disk space usag for _file if exist,check if _regex is mount
execut command from _regex in current shell,reread user 's _file configur file
delet all text file from current folder after user confirm,same as abov exampl with _regex in exampl with _regex it ask for confirm befor execut _file command that is call user interact command
copi file remov digit from filenam not overwrit ani exist file,search for all file in current folder and creat a directori with all file
chang extens of all _file file in folder _file to _file and not chang in sub directori,recurs search for all file with name end with _file renam them to end with _file
copi file or directori _regex from directori _regex in current directori to _file preserv ownership and permiss,copi all file like _file to _directory directori
print path to pipe creat for process substitut,print pathnam of a file that is connect to standard output of command _regex
list each file or directori in current directori prefix by it human readabl files and sort from largest to smallest,print size of all top-level folder in a current folder with human-read format and descend order
recurs find all file not like _file _file _file in a current folder and remov them,remov all regular file from current directori tree whose name not end with _regex or _regex
make _regex built-in to show onli real execut time,list all file and directori in _regex directori tree that been modifi _datetime
execut script _regex pass all regular file from directori tree _file as argument to it,find all file under _file directori and run _file for each of them with file path as an argument
find all file and directori under current directori tree whose path match pattern _regex,list regular file end in _file
